"X","cell_ID","dataset.suffix","cell_centroid_x","cell_centroid_y","Area","nucleus_centroid_x","nucleus_centroid_y","nucleus_area","z_level","radius"
298158,3072042840,1,1575.30493164062,1412.81518554688,18.1979694105685,1575.26281738281,1412.74060058594,13.5920317433774,12,2.40678074860469
298159,3072047314,1,1585.77770996094,1412.53051757812,20.9073445089161,1586.16711425781,1413.162109375,13.4565629884601,12,2.57973146878476
298160,3072055113,1,1607.3212890625,1412.53540039062,32.1964074186981,1607.38525390625,1412.62658691406,22.8039070777595,12,3.20131766324005
298161,3072071432,1,1612.24475097656,1414.54956054688,17.5206256359816,1612.40319824219,1414.79541015625,11.7857816778123,12,2.36156481004822
298162,3072073784,1,1581.97058105469,1414.85852050781,16.7529693581164,1582.11499023438,1415.12182617188,11.7857816778123,12,2.30925004484628
298163,3072085436,1,1590.53967285156,1414.74926757812,24.8359384015203,1590.51879882812,1414.89001464844,20.9073445089161,15,2.8116764973687
298164,3072093519,1,1577.33618164062,1415.99255371094,23.6167196072638,1577.36889648438,1415.91125488281,16.978750616312,12,2.74179418086454
298165,3072100214,1,1602.50073242188,1416.66174316406,32.4221886768937,1602.43054199219,1416.6904296875,22.8942195810378,12,3.21252286957952
298166,3072102790,1,1595.91040039062,1416.02185058594,36.5765638276935,1595.67639160156,1416.263671875,30.1192198432982,15,3.4121374340708
298167,3072102921,1,1585.83374023438,1417.66772460938,26.506719712168,1585.67883300781,1417.34338378906,21.3589070253074,12,2.90471185054315
298168,3072108760,1,1607.32934570312,1418.8525390625,33.1898449547589,1607.31604003906,1418.59558105469,22.4426570646465,12,3.25033164000336
298169,3072117763,1,1591.68029785156,1419.39880371094,21.22343827039,1591.89929199219,1419.28833007812,18.1076569072902,12,2.59915952189868
298170,3072133340,1,1612.52966308594,1419.36120605469,30.8868761211634,1612.478515625,1419.18688964844,22.4426570646465,12,3.13553791600426
298171,3072138399,1,1599.62622070312,1420.58630371094,19.5526569597423,1599.2724609375,1420.20971679688,12.9598442204297,12,2.49475530091556
298172,3072140051,1,1580.37329101562,1419.74230957031,28.3581260293722,1580.43103027344,1419.70861816406,22.8942195810378,12,3.00444202287131
298173,3072144055,1,1575.08703613281,1420.96142578125,19.2817194499075,1575.13098144531,1421.119140625,10.611719135195,12,2.47741032603157
298174,3072145351,1,1595.06909179688,1423.02880859375,31.6093761473894,1595.14331054688,1422.82165527344,23.8425008654594,12,3.17199888458621
298175,3072147432,1,1588.25244140625,1422.78259277344,29.2160948105156,1588.03112792969,1422.67846679688,21.1331257671118,12,3.04955272357604
298176,3072197996,1,1604.5625,1424.22692871094,45.5626579038799,1604.26257324219,1424.44299316406,29.4418760687113,12,3.80828628803232
298177,3072198616,1,1583.46447753906,1424.37145996094,32.4673449285328,1583.34973144531,1424.32751464844,25.2875009179115,12,3.21475922409302
298178,3072210775,1,1611.32287597656,1425.14331054688,23.0748445875943,1611.53869628906,1425.29711914062,16.0304693318903,12,2.71015703500476
298179,3072212682,1,1577.79650878906,1425.41564941406,28.8548447974026,1577.76123046875,1425.33422851562,22.2168758064508,12,3.03064058629726
298180,3072231011,1,1598.59521484375,1426.98815917969,22.0814070515335,1598.58862304688,1426.98095703125,15.895000576973,12,2.6511752422938
298181,3072241054,1,1588.24072265625,1428.1982421875,15.0370317958295,1588.4375,1428.01159667969,7.4959377720952,12,2.18779246718525
